[H[2J[3JPosibles boot master
boot master: 73.89.221.25  Grados: 18
boot master: 185.109.34.183  Grados: 18
#################
Arista mas larga: 
#################
3157 - 287 : 99
427 - 288 : 68
1873 - 289 : 14
11281 - 290 : 110
1800 - 291 : 45
8595 - 292 : 70
9668 - 293 : 141
12769 - 294 : 124
13 - 295 : 47
1423 - 296 : 148
9128 - 297 : 50
3750 - 298 : 72
568 - 299 : 88
3111 - 300 : 50
2112 - 301 : 239
10986 - 302 : 26
9138 - 303 : 26
7116 - 304 : 36
11935 - 305 : 74
5786 - 306 : 105
2239 - 307 : 111
12505 - 308 : 14
4057 - 309 : 18
2496 - 310 : 27
12198 - 311 : 97
153 - 312 : 56
4918 - 313 : 130
9941 - 314 : 13
6720 - 315 : 38
2809 - 316 : 30
6400 - 317 : 85
6961 - 318 : 131
4480 - 319 : 42
1145 - 320 : 19
2743 - 321 : 80
12037 - 322 : 20
358 - 323 : 32
4294 - 324 : 77
3779 - 325 : 45
11704 - 326 : 65
11518 - 327 : 47
12438 - 328 : 25
9063 - 329 : 11
4648 - 330 : 116
5795 - 331 : 12
231 - 332 : 12
6324 - 333 : 50
4421 - 334 : 37
5887 - 335 : 42
6915 - 336 : 58
11831 - 337 : 27
3029 - 338 : 84
10926 - 339 : 139
1037 - 340 : 157
664 - 341 : 60
1353 - 342 : 81
2300 - 343 : 45
4697 - 344 : 17
8908 - 345 : 44
4901 - 346 : 45
11790 - 347 : 66
10571 - 348 : 56
10502 - 349 : 57
4857 - 350 : 137
3647 - 351 : 232
2956 - 352 : 24
11184 - 353 : 53
3323 - 354 : 48
11980 - 355 : 56
2925 - 356 : 59
8095 - 357 : 21
693 - 358 : 27
788 - 359 : 66
8456 - 360 : 19
1915 - 361 : 15
7829 - 362 : 108
183 - 363 : 100
12272 - 364 : 81
6484 - 365 : 49
2757 - 366 : 15
9042 - 367 : 131
5827 - 368 : 70
5287 - 369 : 57
559 - 370 : 80
12521 - 371 : 13
9899 - 372 : 19
4446 - 373 : 88
7817 - 374 : 175
13359 - 375 : 28
1957 - 376 : 42
3014 - 377 : 30
1136 - 378 : 170
7832 - 379 : 60
3634 - 380 : 63
6437 - 381 : 31
9265 - 382 : 78
3659 - 383 : 37
10067 - 384 : 26
8213 - 385 : 139
11051 - 386 : 113
3344 - 387 : 68
11324 - 388 : 30
9668 - 389 : 77
8263 - 390 : 46
11715 - 391 : 45
3174 - 392 : 66
5820 - 393 : 73
6904 - 394 : 47
6386 - 395 : 54
6699 - 396 : 10
9653 - 397 : 64
4884 - 398 : 46
2909 - 399 : 22
4300 - 400 : 12
